quarter,time,team,player_name,event_text,home_score,away_score
Q1,00:00,home,Максим Наумов,"<div class=""div_info"">
<a class=""player_name"" href=""player-26485-maksim-naumov"">Максим Наумов</a>опит за стрелба от 2т.<br/>неуспешен</div>",,
Q1,00:00,away,Йосиф Омар,"<div class=""div_info"">
<a class=""player_name"" href=""player-10398-iosif-omar"">Йосиф Омар</a>блок</div>",,
Q1,00:00,away,Йордан Иванов,"<div class=""div_info"">
<a class=""player_name"" href=""player-13846-iordan-ivanov"">Йордан Иванов</a>3 стрелба с отскок</div>",,
Q1,00:10,home,Цветослав Митев,"<div class=""div_info"">
<a class=""player_name"" href=""player-3990-cvetoslav-mitev"">Цветослав Митев</a>борба в нападение</div>",,
Q1,00:10,home,Цветослав Митев,"<div class=""div_info"">
<a class=""player_name"" href=""player-3990-cvetoslav-mitev"">Цветослав Митев</a>опит за стрелба от 2т.<br/>неуспешен</div>",,
Q1,00:10,away,Йосиф Омар,"<div class=""div_info"">
<a class=""player_name"" href=""player-10398-iosif-omar"">Йосиф Омар</a>блок</div>",,
Q1,00:11,home,Цветослав Митев,"<div class=""div_info"">
<a class=""player_name"" href=""player-3990-cvetoslav-mitev"">Цветослав Митев</a>борба в нападение</div>",,
Q1,00:13,home,Цветослав Митев,"<div class=""div_info"">
<a class=""player_name"" href=""player-3990-cvetoslav-mitev"">Цветослав Митев</a>опит за стрелба от 2т.<br/>неуспешен</div>",,
Q1,00:27,away,Димитър Рачев,"<div class=""div_info"">
<a class=""player_name"" href=""player-13187-dimityr-rachev"">Димитър Рачев</a>опит за стрелба от 2т.<br/>неуспешен</div>",,
Q1,00:27,home,Максим Наумов,"<div class=""div_info"">
<a class=""player_name"" href=""player-26485-maksim-naumov"">Максим Наумов</a>борба в защита</div>",,
Q1,00:27,away,Йордан Иванов,"<div class=""div_info"">
<a class=""player_name"" href=""player-13846-iordan-ivanov"">Йордан Иванов</a>лично нарушение</div>",,
Q1,00:27,home,Максим Наумов,"<div class=""div_info"">
<a class=""player_name"" href=""player-26485-maksim-naumov"">Максим Наумов</a>понесено нарушение</div>",,
Q1,00:47,home,Андреан Деков,"<div class=""div_info"">
<a class=""player_name"" href=""player-18487-andrean-dekov"">Андреан Деков</a>3 стрелба с отскок</div>",,
Q1,00:47,home,Валери Пейков,"<div class=""div_info"">
<a class=""player_name"" href=""player-9382-valeri-peikov"">Валери Пейков</a>асистенция</div>",,
